group,pk,sk,exchange,attack
d5,2,1,44291,10
d5,2,1,43651,7
d5,2,1,43722,7
d5,2,1,41970,8
d5,2,1,41437,6
d5,2,1,43907,6
d5,2,1,44490,11
d5,3,1,84005,10
d5,3,1,73554,11
d5,3,1,74510,10
d5,3,1,76980,12
d5,3,1,120921,11
d5,3,1,65996,12
d5,3,1,66608,13
d5,3,1,63572,9
d5,3,1,64298,10
d5,3,1,76544,9
d5,3,1,66459,13
d5,3,1,76182,11
d5,3,1,65733,11
d5,3,1,65147,11
d5,3,1,72926,11
d5,3,1,88492,15
d5,3,1,110920,8
d5,3,1,73709,10
d5,3,1,66656,12
d5,3,1,63285,10
d5,3,1,89367,10
d5,3,1,63518,12
d5,3,1,88465,11
d5,3,1,74203,9
d5,3,1,72820,8
d5,3,2,77418,19
d5,3,2,65248,14
d5,3,2,64306,14
d5,3,2,66018,22
d5,3,2,96165,10
d5,3,2,65707,15
d5,3,2,63528,10
d5,3,2,74418,7
d5,3,2,74384,14
d5,3,2,99103,17
d5,3,2,63882,9
d5,3,2,65575,9
d5,3,2,62893,18
d5,3,2,62991,12
d5,3,2,72449,12
d5,3,2,63486,9
d5,3,2,76950,11
d5,3,2,110416,10
d5,3,2,77512,11
d5,3,2,65627,9
d5,3,2,63315,10
d5,3,2,74178,17
d5,3,2,77491,9
d5,3,2,64385,11
d5,3,2,78151,12
d5,4,1,94019,11
d5,4,1,95904,11
d5,4,1,109985,13
d5,4,1,118444,11
d5,4,1,94235,13
d5,4,1,85389,13
d5,4,1,107945,15
d5,4,1,96115,12
d5,4,1,105154,14
d5,4,1,116128,10
d5,4,1,86424,22
d5,4,1,83106,13
d5,4,1,86332,13
d5,4,1,109705,10
d5,4,1,97121,13
d5,4,1,118359,9
d5,4,1,109578,12
d5,4,1,120334,11
d5,4,1,134281,11
d5,4,1,105619,15
d5,4,1,120974,12
d5,4,1,86178,11
d5,4,1,87058,15
d5,4,1,95991,16
d5,4,1,85299,11
d5,4,2,110349,28
d5,4,2,86073,10
d5,4,2,98199,8
d5,4,2,163070,12
d5,4,2,126725,18
d5,4,2,107018,16
d5,4,2,86264,11
d5,4,2,106372,12
d5,4,2,103395,13
d5,4,2,88833,34
d5,4,2,117516,13
d5,4,2,85890,9
d5,4,2,162775,12
d5,4,2,85513,17
d5,4,2,97696,13
d5,4,2,105034,13
d5,4,2,96468,12
d5,4,2,120929,21
d5,4,2,131809,14
d5,4,2,116476,12
d5,4,2,88070,21
d5,4,2,98978,13
d5,4,2,118626,17
d5,4,2,92127,22
d5,4,2,106771,10
d5,4,3,108516,23
d5,4,3,99381,15
d5,4,3,96308,54
d5,4,3,85549,17
d5,4,3,84315,32
d5,4,3,85446,11
d5,4,3,145151,16
d5,4,3,96415,16
d5,4,3,85228,11
d5,4,3,99320,17
d5,4,3,96449,11
d5,4,3,86567,23
d5,4,3,83115,14
d5,4,3,96696,14
d5,4,3,117968,16
d5,4,3,97388,15
d5,4,3,99086,21
d5,4,3,115790,19
d5,4,3,84699,12
d5,4,3,98457,14
d5,4,3,84990,11
d5,4,3,98409,21
d5,4,3,126898,23
d5,4,3,108432,18
d5,4,3,83507,11
