pk,sk,exchange,attack
5,4,115531,4188
5,4,119305,2824
5,4,114473,13802
5,4,113411,3823
5,4,115100,6488
5,4,114216,6020
5,4,113755,6842
5,4,116437,16086
5,4,115593,11590
5,4,116410,8069
5,4,116538,8261
5,4,116411,9246
5,4,120742,1051
5,4,120985,624
5,4,116180,6388
5,4,116037,9025
5,4,115278,6531
5,4,117737,1009
5,4,116474,12110
5,4,114480,2737
5,4,114858,596
5,4,115841,5164
6,1,138769,19
6,1,139169,16
6,1,141903,26
6,1,140546,21
6,1,143737,19
6,1,141272,20
6,1,142812,21
6,1,142822,26
6,1,137988,25
6,1,140718,22
6,1,137374,22
6,1,142237,23
6,1,142667,26
6,1,145487,23
6,1,143333,25
6,1,142327,18
6,1,138259,21
6,1,140397,27
6,1,141498,19
6,1,139963,23
6,1,137268,25
6,1,140410,22
6,1,139153,23
6,1,141247,26
6,1,144903,28
6,1,142425,23
6,1,142137,22
6,1,141790,23
6,1,141455,39
6,1,139554,25
6,1,138901,21
6,1,137401,26
6,1,137837,23
6,1,136536,26
6,1,142809,23
6,1,138339,24
6,1,140766,28
6,1,139552,19
6,1,137912,22
6,1,140651,18
6,1,145764,24
6,1,150308,21
6,1,155433,21
6,1,146719,21
6,1,139960,19
6,1,138676,23
6,1,136069,24
6,1,137838,20
6,1,142037,22
6,1,140553,24
6,1,140397,23
6,1,142044,19
6,1,142792,27
6,1,137702,24
6,1,138423,15
6,1,141832,22
6,1,140566,24
6,1,138025,24
6,1,136563,21
6,1,136311,22
6,1,136270,24
6,1,138436,23
6,1,139469,29
6,1,136714,22
6,1,141473,21
6,1,144105,23
6,1,138800,18
6,1,139090,21
6,1,139817,19
6,1,136543,17
6,1,137964,17
6,1,137328,23
6,1,137395,22
6,1,138831,19
6,1,138295,23
6,1,141414,15
6,1,137977,23
6,1,140554,23
6,1,137663,23
6,1,147425,24
6,1,141928,20
6,1,151532,16
6,1,143111,24
6,1,143399,20
6,1,140329,28
6,1,139433,21
6,1,137826,21
6,1,136998,22
6,1,136356,24
6,1,135665,21
6,1,135743,18
6,1,136007,21
6,1,136338,20
6,1,136764,17
6,1,135630,20
6,1,136534,18
6,1,140582,20
6,1,135543,17
6,1,136306,22
6,1,135772,18
6,2,136331,65
6,2,137139,95
6,2,136762,48
6,2,135438,86
6,2,135661,68
6,2,135993,110
6,2,139275,183
6,2,136209,49
6,2,136092,46
6,2,136946,134
6,2,136651,59
6,2,135670,82
6,2,135958,70
6,2,137092,74
6,2,136855,86
6,2,135739,57
6,2,138319,42
6,2,136697,133
6,2,136700,31
6,2,137145,147
6,2,135787,88
6,2,136684,123
6,2,135586,30
6,2,136602,161
6,2,135793,134
6,2,155290,51
6,2,140726,173
6,2,139735,64
6,2,138367,137
6,2,144222,84
6,2,147189,120
6,2,139148,44
6,2,141849,113
6,2,138468,158
6,2,138173,104
6,2,136624,98
6,2,136943,35
6,2,138882,107
6,2,137430,60
6,2,138467,118
6,2,138721,81
6,2,136204,74
6,2,135653,160
6,2,139034,86
6,2,139307,98
6,2,136442,99
6,2,136910,88
6,2,140084,106
6,2,136989,152
6,2,136398,60
6,2,136949,130
6,2,136644,196
6,2,136224,52
6,2,136499,83
