group,pk,sk,exchange,attack,cardinality
s6,6,4,98935,2922,720
s6,6,4,100551,827,720
s6,6,4,100294,486,720
s6,6,4,102698,1043,720
s6,6,4,100022,164,720
s6,6,4,100679,2438,720
s6,6,4,99980,406,720
s6,6,4,105420,878,720
s6,6,4,99473,279,720
s6,6,4,100333,736,720
s6,6,4,101546,1179,720
s6,6,4,102181,266,720
s6,6,4,102719,3068,720
s6,6,4,100751,3365,720
s6,6,4,102620,4463,720
s6,6,4,99707,600,720
s6,6,4,96239,84,720
s6,6,4,97223,1221,720
s6,6,4,100847,160,720
s6,6,4,98541,314,720
s6,6,4,94308,438,720
s6,6,4,97579,2382,720
s6,6,4,97711,2452,720
s6,6,5,102850,2911,720
s6,6,5,105417,430,720
s6,6,5,95373,1606,720
s6,6,5,109715,1311,720
s6,6,5,97056,1055,720
s6,6,5,97944,3271,720
s6,6,5,97800,1032,720
s6,6,5,107001,2099,720
s6,6,5,97220,11337,720
s6,6,5,96845,897,720
s6,6,5,96881,92,720
s6,6,5,109521,513,720
s6,6,5,96592,1541,720
s6,6,5,102109,1410,720
s6,6,5,100799,1273,720
s6,6,5,96250,1543,720
s6,6,5,97187,6304,720
s6,6,5,94903,272,720
s6,6,5,97669,294,720
s6,6,5,95427,570,720
s6,6,5,95160,563,720
s6,6,5,98240,1826,720
s6,6,5,105315,2793,720
s6,6,5,98756,1246,720
s6,6,5,99318,6415,720
s7,6,1,105464,17,5040
s7,6,1,103900,22,5040
s7,6,1,102245,20,5040
s7,6,1,103112,16,5040
s7,6,1,102183,17,5040
s7,6,1,103175,24,5040
s7,6,1,103475,21,5040
s7,6,1,102668,17,5040
s7,6,1,104102,26,5040
s7,6,1,103149,17,5040
s7,6,1,107515,20,5040
s7,6,1,103723,19,5040
s7,6,1,102790,16,5040
s7,6,1,105026,18,5040
s7,6,1,105469,21,5040
s7,6,1,105745,18,5040
s7,6,1,104599,21,5040
s7,6,1,108373,18,5040
s7,6,1,107436,21,5040
s7,6,1,111371,18,5040
s7,6,1,102472,15,5040
s7,6,1,104406,20,5040
s7,6,1,104694,18,5040
s7,6,1,118660,18,5040
s7,6,1,103332,18,5040
s7,6,2,103454,95,5040
s7,6,2,104179,132,5040
s7,6,2,102539,86,5040
s7,6,2,104749,103,5040
s7,6,2,103705,106,5040
s7,6,2,102406,44,5040
s7,6,2,104480,90,5040
s7,6,2,103903,87,5040
s7,6,2,102003,32,5040
s7,6,2,104895,130,5040
s7,6,2,103292,15,5040
s7,6,2,101128,37,5040
s7,6,2,104805,106,5040
s7,6,2,103124,36,5040
s7,6,2,106401,114,5040
s7,6,2,103801,97,5040
s7,6,2,103505,113,5040
s7,6,2,103308,35,5040
s7,6,2,103591,34,5040
s7,6,2,102237,24,5040
s7,6,2,102825,142,5040
s7,6,2,103635,122,5040
s7,6,2,103595,114,5040
s7,6,2,102581,89,5040
s7,6,2,105868,74,5040
s7,6,3,105847,123,5040
s7,6,3,122779,248,5040
s7,6,3,113528,678,5040
s7,6,3,103581,84,5040
s7,6,3,103109,1963,5040
s7,6,3,102851,631,5040
s7,6,3,102592,1272,5040
s7,6,3,103491,1155,5040
s7,6,3,103786,682,5040
s7,6,3,103017,105,5040
s7,6,3,103191,577,5040
s7,6,3,103570,591,5040
s7,6,3,104091,170,5040
s7,6,3,114833,565,5040
s7,6,3,104033,966,5040
s7,6,3,104091,1174,5040
s7,6,3,102002,69,5040
s7,6,3,103056,497,5040
s7,6,3,103157,731,5040
s7,6,3,102921,1435,5040
s7,6,3,102214,291,5040
s7,6,3,102693,675,5040
s7,6,3,101943,149,5040
s7,6,3,103410,451,5040
s7,6,3,103237,764,5040
s7,6,4,103091,3372,5040
s7,6,4,103447,2514,5040
s7,6,4,105849,3118,5040
s7,6,4,104177,1482,5040
s7,6,4,103914,379,5040
s7,6,4,102976,1338,5040
s7,6,4,104059,4062,5040
s7,6,4,105674,2503,5040
s7,6,4,100493,12023,5040
s7,6,4,103314,2152,5040
s7,6,4,103608,2825,5040
s7,6,4,103747,9528,5040
s7,6,4,102617,839,5040
s7,6,4,102644,12494,5040
s7,6,4,103699,6772,5040
s7,6,4,106204,7759,5040
s7,6,4,102608,4115,5040
s7,6,4,102538,8346,5040
s7,6,4,102883,4200,5040
s7,6,4,104121,6109,5040
s7,6,4,103039,4483,5040
s7,6,4,103422,7007,5040
s7,6,4,103869,12452,5040
s7,6,4,104097,814,5040
s7,6,4,103341,3474,5040
s7,6,5,102291,29415,5040
s7,6,5,102726,3881,5040
s7,6,5,102158,2720,5040
s7,6,5,102758,8249,5040
s7,6,5,106735,19865,5040
s7,6,5,103697,36605,5040
s7,6,5,103176,20608,5040
s7,6,5,103081,6315,5040
s7,6,5,103007,7624,5040
s7,6,5,103667,20279,5040
s7,6,5,102496,2918,5040
s7,6,5,103859,6305,5040
s7,6,5,105485,4910,5040
s7,6,5,104653,9378,5040
s7,6,5,103936,1314,5040
s7,6,5,106105,6887,5040
s7,6,5,103182,7154,5040
s7,6,5,106724,13136,5040
s7,6,5,103800,12991,5040
s7,6,5,104690,10060,5040
s7,6,5,103730,3618,5040
s7,6,5,103972,16136,5040
s7,6,5,103234,6492,5040
s7,6,5,104505,15739,5040
s7,6,5,104771,22094,5040
s8,6,1,109923,15,40320
s8,6,1,107179,21,40320
s8,6,1,107456,16,40320
s8,6,1,106751,27,40320
s8,6,1,107637,17,40320
s8,6,1,111038,17,40320
s8,6,1,107694,22,40320
s8,6,1,107846,15,40320
s8,6,1,107505,20,40320
s8,6,1,107980,22,40320
s8,6,1,109575,20,40320
s8,6,1,108307,15,40320
s8,6,1,107808,14,40320
s8,6,1,107863,18,40320
s8,6,1,109309,22,40320
s8,6,1,107162,20,40320
s8,6,1,108541,17,40320
s8,6,1,107422,14,40320
s8,6,1,111321,21,40320
s8,6,1,106204,22,40320
s8,6,1,108647,17,40320
s8,6,1,107799,20,40320
s8,6,1,106868,21,40320
s8,6,1,107629,21,40320
s8,6,1,107412,24,40320
s8,6,2,108160,52,40320
s8,6,2,107944,126,40320
s8,6,2,108258,46,40320
s8,6,2,107710,145,40320
s8,6,2,108451,128,40320
s8,6,2,107782,110,40320
s8,6,2,110554,78,40320
s8,6,2,108900,30,40320
s8,6,2,106783,90,40320
s8,6,2,108384,51,40320
s8,6,2,108039,38,40320
s8,6,2,107445,39,40320
s8,6,2,109611,74,40320
s8,6,2,107315,59,40320
s8,6,2,107620,93,40320
s8,6,2,108672,128,40320
s8,6,2,107847,83,40320
s8,6,2,108339,102,40320
s8,6,2,107150,85,40320
s8,6,2,111060,103,40320
s8,6,2,108840,84,40320
s8,6,2,108451,56,40320
s8,6,2,109836,88,40320
s8,6,2,108858,75,40320
s8,6,2,108161,121,40320
s8,6,3,108640,901,40320
s8,6,3,108872,1762,40320
s8,6,3,108342,563,40320
s8,6,3,108033,1031,40320
s8,6,3,108509,1601,40320
s8,6,3,108379,777,40320
s8,6,3,108319,160,40320
s8,6,3,110669,1305,40320
s8,6,3,107308,118,40320
s8,6,3,109173,122,40320
s8,6,3,108828,242,40320
s8,6,3,108780,1726,40320
s8,6,3,107194,673,40320
s8,6,3,108786,942,40320
s8,6,3,109414,393,40320
s8,6,3,108869,253,40320
s8,6,3,107994,308,40320
s8,6,3,106803,276,40320
s8,6,3,108021,469,40320
s8,6,3,108473,1006,40320
s8,6,3,110242,118,40320
s8,6,3,107624,857,40320
s8,6,3,107310,201,40320
s8,6,3,107805,981,40320
s8,6,3,108776,445,40320
s8,6,4,108106,5197,40320
s8,6,4,108847,12491,40320
s8,6,4,108640,1462,40320
s8,6,4,108750,23333,40320
s8,6,4,107927,12279,40320
s8,6,4,107182,10225,40320
s8,6,4,108126,5103,40320
s8,6,4,108489,15972,40320
s8,6,4,110926,6547,40320
s8,6,4,109078,14509,40320
s8,6,4,108881,5497,40320
s8,6,4,108602,18725,40320
s8,6,4,108449,7286,40320
s8,6,4,107158,14022,40320
